Date,Open,High,Low,Close,Adj Close,Volume
2021-12-09,317.339996,322.049988,304.279999,304.899994,304.783630,48850700
2021-12-10,311.500000,313.049988,298.609985,301.980011,301.864746,48882500
2021-12-13,302.489990,302.940002,281.160004,281.609985,281.502502,59834400
2021-12-14,276.989990,286.779999,272.500000,283.369995,283.261841,66703500
2021-12-15,284.000000,305.000000,278.380005,304.589996,304.473755,69829700
2021-12-16,311.519989,311.600006,280.929993,283.869995,283.761627,70736600
2021-12-17,279.850006,289.220001,277.600006,278.010010,277.903900,71375800
2021-12-20,273.049988,281.440002,271.450012,277.190002,277.084229,46184700
2021-12-21,283.739990,291.200012,274.010010,290.750000,290.639038,52438500
2021-12-22,288.910004,295.549988,284.489990,294.000000,293.887787,39518400
2021-12-23,297.549988,300.589996,294.309998,296.399994,296.286865,34302200
2021-12-27,296.600006,310.869995,296.399994,309.450012,309.331909,40368600
2021-12-28,313.119995,313.299988,300.119995,303.220001,303.104248,42059100
2021-12-29,302.730011,305.480011,293.660004,300.010010,299.895508,34313900
2021-12-30,298.269989,304.570007,295.399994,295.859985,295.747070,30886400
2021-12-31,296.739990,300.299988,293.309998,294.109985,293.997711,26653000
2022-01-03,298.149994,307.109985,297.850006,301.209991,301.095032,39154700
2022-01-04,302.769989,304.679993,283.489990,292.899994,292.788208,52715400
2022-01-05,289.489990,294.160004,275.329987,276.040009,275.934662,49806400
2022-01-06,276.399994,284.380005,270.649994,281.779999,281.672455,45418600
2022-01-07,281.410004,284.220001,270.570007,272.470001,272.365997,40993900
2022-01-10,265.809998,274.690002,256.440002,274.000000,273.895447,59468100
2022-01-11,273.230011,280.649994,268.390015,278.170013,278.063843,40408900
2022-01-12,280.670013,285.950012,276.079987,279.989990,279.883118,38341300
2022-01-13,283.790009,284.799988,264.980011,265.750000,265.648590,54017100
2022-01-14,263.000000,271.970001,262.100006,269.420013,269.317169,39583200
2022-01-18,262.600006,266.380005,257.700012,259.029999,258.931122,42427000
2022-01-19,260.790009,265.429993,250.520004,250.669998,250.574326,48831500
2022-01-20,253.039993,255.789993,240.779999,241.500000,241.407822,43518100
2022-01-21,235.070007,248.229996,232.630005,233.740005,233.650803,71895800
2022-01-24,223.300003,233.800003,208.880005,233.720001,233.630798,91398200
2022-01-25,225.460007,229.429993,220.000000,223.240005,223.154800,66461600
2022-01-26,232.399994,240.570007,223.000000,227.720001,227.633087,75595900
2022-01-27,235.679993,239.949997,216.750000,219.440002,219.356247,57335300
2022-01-28,220.119995,228.580002,212.960007,228.399994,228.312820,54377400
2022-01-31,231.820007,245.089996,230.520004,244.860001,244.766541,56468000
2022-02-01,251.039993,251.449997,238.899994,246.380005,246.285965,51892500
2022-02-02,257.940002,258.170013,245.529999,252.419998,252.323654,54341900
2022-02-03,244.580002,250.770004,237.800003,239.479996,239.388580,41017800
2022-02-04,239.720001,246.350006,236.320007,243.190002,243.097183,35482900
2022-02-07,243.720001,251.820007,242.020004,247.279999,247.185608,37686800
2022-02-08,243.589996,252.300003,239.800003,251.080002,250.984177,41035900
2022-02-09,256.220001,267.250000,253.529999,267.049988,266.948059,52428200
2022-02-10,259.950012,269.250000,256.000000,258.239990,258.141418,51320000
2022-02-11,259.160004,261.519989,237.729996,239.490005,239.398590,60547200
2022-02-14,239.339996,248.750000,237.550003,242.669998,242.577377,44042400
2022-02-15,249.490005,265.450012,247.839996,264.950012,264.848877,69986900
2022-02-16,262.589996,265.820007,255.520004,265.109985,265.008789,73267600
2022-02-17,256.299988,257.850006,241.649994,245.070007,244.976471,81059500
2022-02-18,246.679993,249.860001,231.000000,236.419998,236.329773,76125500
